Situation type;Situation number;State;Goal potential
Cross and Save;1;-3;0.64
Cross and Save;1;-2;0.64
Cross and Save;1;-1;0.74
Cross and Save;1;0;0.53
Cross and Save;2;-3;0.64
Cross and Save;2;-2;0.64
Cross and Save;2;-1;0.74
Cross and Save;2;0;0.53
Cross and Save;3;-3;1
Cross and Save;3;-2;0.83
Cross and Save;3;-1;0.74
Cross and Save;3;0;0.93
Cross and Save;4;-3;0.08
Cross and Save;4;-2;0.64
Cross and Save;4;-1;0.74
Cross and Save;4;0;0.53
Cross and Save;5;-3;0.64
Cross and Save;5;-2;0.74
Cross and Save;5;-1;0.74
Cross and Save;5;0;0.53
Cross and Save;6;-3;0.64
Cross and Save;6;-2;0.74
Cross and Save;6;-1;0.93
Cross and Save;6;0;0.53
Cross and Goal;1;-3;1
Cross and Goal;1;-2;0.74
Cross and Goal;1;-1;0.53
Cross and Goal;1;0;0.93
Cross and Goal;2;-3;1
Cross and Goal;2;-2;0.83
Cross and Goal;2;-1;1
Cross and Goal;2;0;1
Cross and Goal;3;-3;1
Cross and Goal;3;-2;1
Cross and Goal;3;-1;0.83
Cross and Goal;3;0;1
Cross and Goal;4;-3;0.64
Cross and Goal;4;-2;0.37
Cross and Goal;4;-1;0.37
Cross and Goal;4;0;0.93
Cross and Goal;5;-3;0.64
Cross and Goal;5;-2;0.83
Cross and Goal;5;-1;0.83
Cross and Goal;5;0;1
Cross and Goal;6;-3;0.64
Cross and Goal;6;-2;0.74
Cross and Goal;6;-1;0.93
Cross and Goal;6;0;0.53
Cross and Goal;7;-3;0.64
Cross and Goal;7;-2;0.64
Cross and Goal;7;-1;0.37
Cross and Goal;7;0;0.93
Cross and Goal;8;-3;0.64
Cross and Goal;8;-2;0.74
Cross and Goal;8;-1;0.93
Cross and Goal;8;0;0.53
Cross and Goal;9;-3;0.64
Cross and Goal;9;-2;0.37
Cross and Goal;9;-1;0.93
Cross and Goal;9;0;1
Cross and Goal;10;-3;0.64
Cross and Goal;10;-2;0.74
Cross and Goal;10;-1;0.93
Cross and Goal;10;0;0.93
Cross and Goal;11;-3;0.08
Cross and Goal;11;-2;0.74
Cross and Goal;11;-1;0.93
Cross and Goal;11;0;0.93
Cross and Goal;12;-3;0.64
Cross and Goal;12;-2;0.74
Cross and Goal;12;-1;0.74
Cross and Goal;12;0;0.93
Cross and Goal;13;-3;0.64
Cross and Goal;13;-2;0.74
Cross and Goal;13;-1;0.93
Cross and Goal;13;0;0.93
Cross and Goal;14;-3;1
Cross and Goal;14;-2;0.93
Cross and Goal;14;-1;0.74
Cross and Goal;14;0;0.53
Cross and Goal;15;-3;1
Cross and Goal;15;-2;0.83
Cross and Goal;15;-1;1
Cross and Goal;15;0;0.93
Cross and Goal;16;-3;0.64
Cross and Goal;16;-2;0.64
Cross and Goal;16;-1;0.74
Cross and Goal;16;0;0.93
Cross and Goal;17;-3;1
Cross and Goal;17;-2;1
Cross and Goal;17;-1;0.83
Cross and Goal;17;0;1
Cross and Goal;18;-3;0.64
Cross and Goal;18;-2;0.74
Cross and Goal;18;-1;0.93
Cross and Goal;18;0;0.93
Cross and Goal;19;-3;0.64
Cross and Goal;19;-2;0.83
Cross and Goal;19;-1;0.74
Cross and Goal;19;0;0.53
Cross and Goal;20;-3;0.08
Cross and Goal;20;-2;0.37
Cross and Goal;20;-1;1
Cross and Goal;20;0;0.93
Cross and Goal;21;-3;0.64
Cross and Goal;21;-2;0.64
Cross and Goal;21;-1;0.74
Cross and Goal;21;0;0.53
Cross and Goal;22;-3;0.2
Cross and Goal;22;-2;0.23
Cross and Goal;22;-1;0.74
Cross and Goal;22;0;0.93
Cross and Goal;23;-3;0.08
Cross and Goal;23;-2;0.23
Cross and Goal;23;-1;0.74
Cross and Goal;23;0;0.93
Cross and Goal;24;-3;0.64
Cross and Goal;24;-2;0.74
Cross and Goal;24;-1;1
Cross and Goal;24;0;1
Cross and Goal;25;-3;1
Cross and Goal;25;-2;0.23
Cross and Goal;25;-1;0.83
Cross and Goal;25;0;1
Cross and Goal;26;-3;0.64
Cross and Goal;26;-2;0.74
Cross and Goal;26;-1;0.53
Cross and Goal;26;0;0.93
Cross and Goal;27;-3;0.64
Cross and Goal;27;-2;0.74
Cross and Goal;27;-1;0.93
Cross and Goal;27;0;0.93
Cross and Goal;28;-3;0.64
Cross and Goal;28;-2;0.83
Cross and Goal;28;-1;0.74
Cross and Goal;28;0;0.93
Cross and Goal;29;-3;0.64
Cross and Goal;29;-2;0.74
Cross and Goal;29;-1;0.53
Cross and Goal;29;0;0.93
Cross and Goal;30;-3;0.08
Cross and Goal;30;-2;0.74
Cross and Goal;30;-1;0.93
Cross and Goal;30;0;0.93
Cross and Goal;31;-3;1
Cross and Goal;31;-2;0.83
Cross and Goal;31;-1;1
Cross and Goal;31;0;0.53
Cross and Goal;32;-3;0.64
Cross and Goal;32;-2;0.83
Cross and Goal;32;-1;1
Cross and Goal;32;0;0.93