ARG X JAM;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 10'21'';00'00'' FORMATION 4-5-1;;;;;
FIRST PERIOD;;;;;;;;;;;;;;
14'58'';01'42'';DISARM;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;DRIVE;DISARM;01'52'';;;;;;;
;;;;;;;;;;;;;;
15'39'';02'23'';RECOVERY;1C;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;DRIVE;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;GK SAVE;02'55'';;;;;;;
;;;;;;;;;;;;;;
16'31'';03'16'';RECOVERY;2R;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;1R;F;RECEPTION;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;DRIVE;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;DRIVE;;;;;;;;;
;;;3C;F;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;4C;CD;DRIVE;INCOMPLETE DISARM;04'12'';;;;;;;
;;;;;;;;;;;;;;
17'29'';04'13'';RECOVERY;4C;CD;SHOT ATTEMPT;CORNER;04'14'';;;;;;;
;;;;;;;;;;;;;;
17'49'';04'34'';CORNER;4R;PD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;DRIVE;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;BLOCK;04'42'';;;;;;;
;;;;;;;;;;;;;;
18'07'';04'51'';INTERCEPTION;3L;F;DRIVE;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;;;;;;;;;
;;;4C;CB;HEADING ATTEMPT;OFFENSIVE FALL;05'28'';;;;;;;
;;;;;;;;;;;;;;
22'39'';09'23'';GK KICK;1C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;DRIVE;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GOAL;10'21'';;;;;;;
;;;;;;;;;;;;;;
25'18'';12'02'';RECOVERY;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;F;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;DRIVE;;;;;;;;;
;;;4L;PM;CROSS;INTERCEPTION;12'15'';;;;;;;
;;;;;;;;;;;;;;
33'55'';20'39'';RECOVERY;4L;PD;CROSS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;CORNER;20'43'';;;;;;;
;;;;;;;;;;;;;;
34'27'';21'11'';CORNER;4R;PD;CROSS;GK SAVE;21'13'';;;;;;;
;;;;;;;;;;;;;;
34'46'';21'30'';INTERCEPTION;1L;CM;PASS;;;;;;;;;
;;;1C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4C;CB;SHOT ATTEMPT;POST;21'54'';;;;;;;
;;;;;;;;;;;;;;
38'00'';24'44'';DISARM;2L;CM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;DRIVE;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;25'24'';;;;;;;
;;;;;;;;;;;;;;
38'40'';25'25'';RECOVERY;4C;CM;PASS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;BLOCK;25'26'';;;;;;;
;;;;;;;;;;;;;;
40'10'';26'55'';FALL;4R;F;CROSS;INCOMPLETE INTERCEPTION;26'56'';;;;;;;
;;;;;;;;;;;;;;
40'27'';27'11'';FALL;3L;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;DRIVE;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;PM;CROSS;;;;;;;;;
;;;4L;PB;RECEPTION;;;;;;;;;
;;;4L;PB;CROSS;INTERCEPTION;27'29'';;;;;;;
;;;;;;;;;;;;;;
41'23'';28'07'';CORNER;4R;PD;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;BLOCK;28'16'';;;;;;;
;;;;;;;;;;;;;;
45'38'';32'22'';RECOVERY;4R;CM;DRIVE;;;;;;;;;
;;;4R;PM;DRIVE;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;GK KICK;33'01'';;;;;;;
;;;;;;;;;;;;;;
48'56'';35'40'';INTERCEPTION;4L;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;DRIVE;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;CORNER;35'50'';;;;;;;
;;;;;;;;;;;;;;
49'38'';36'22'';CORNER;4R;PD;CROSS;GK SAVE;36'24'';;;;;;;
;;;;;;;;;;;;;;
51'02'';37'46'';GK SAVE;1C;F;PASS;;;;;;;;;
;;;2L;PB;RECEPTION;;;;;;;;;
;;;2L;PB;DRIVE;;;;;;;;;
;;;3L;PB;DRIVE;;;;;;;;;
;;;4L;PB;SHOT ATTEMPT;BLOCK;37'58'';;;;;;;
;;;;;;;;;;;;;;
53'41'';40'25'';FALL;4R;F;CROSS;INTERCEPTION;40'27'';;;;;;;
;;;;;;;;;;;;;;
53'51'';40'35'';RECOVERY;2R;PM;PASS;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;2R;F;DRIVE;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;SHOT ATTEMPT;BLOCK;41'14'';;;;;;;
;;;;;;;;;;;;;;
54'30'';41'15'';RECOVERY;4C;CM;SHOT ATTEMPT;CORNER;41'17'';;;;;;;
;;;;;;;;;;;;;;
55'00'';41'44'';CORNER;4R;PD;CROSS;FREETHROW;41'47'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
07'46'';49'43'';FREETHROW;2L;PM;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;CORNER;49'57'';;;;;;;
;;;;;;;;;;;;;;
08'32'';50'28'';CORNER;4R;PD;CROSS;GK SAVE;50'29'';;;;;;;
;;;;;;;;;;;;;;
09'11'';51'07'';RECOVERY;3L;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;POST;51'17'';;;;;;;
;;;;;;;;;;;;;;
10'50'';52'46'';FALL;4C;F;SHOT ATTEMPT;GK SAVE;52'47'';;;;;;;
;;;;;;;;;;;;;;
14'05'';56'01'';RECOVERY;4C;CM;SHOT ATTEMPT;GK SAVE;56'03'';;;;;;;
;;;;;;;;;;;;;;
16'04'';57'59'';FREETHROW;4R;PD;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;SHOT ATTEMPT;GK KICK;58'04'';;;;;;;
;;;;;;;;;;;;;;
17'18'';59'14'';RECOVERY;2L;PM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;PASS;GK KICK;59'30'';;;;;;;
;;;;;;;;;;;;;;
27'02'';68'58'';INTERCEPTION;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;69'11'';;;;;;;
;;;;;;;;;;;;;;
28'00'';69'56'';RECOVERY;3C;CM;PASS;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4L;PD;PASS;INCOMPLETE INTERCEPTION;70'12'';;;;;;;
;;;;;;;;;;;;;;
30'36'';72'32'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;72'34'';;;;;;;
;;;;;;;;;;;;;;
31'14'';73'10'';RECOVERY;1C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;SHOT ATTEMPT;GK KICK;72'34'';;;;;;;
;;;;;;;;;;;;;;
43'18'';85'14'';RECOVERY;3C;CM;PASS;;;;;;;;;
;;;4R;PB;RECEPTION;;;;;;;;;
;;;4R;PB;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;85'18'';;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;