ARG X URU;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 55'51'';00'00'' FORMATION 4-5-1;;;;;
FIRST PERIOD;;;;;;;;;;;;;;
20'20'';04'45'';FREETHROW;3L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4R;CD;SHOT ATTEMPT;CORNER;05'06'';;;;;;;
;;;;;;;;;;;;;;
23'16'';07'43'';FREETHROW;2R;PM;PASS;;;;;;;;;
;;;1R;F;RECEPTION;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;DRIVE;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;GK SAVE;08'08'';;;;;;;
;;;;;;;;;;;;;;
26'46'';11'10'';FALL;2C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;SHOT ATTEMPT;GK KICK;11'47'';;;;;;;
;;;;;;;;;;;;;;
30'06'';14'31'';FREETHROW;2R;PM;PASS;;;;;;;;;
;;;2R;CM;RECEPTION;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;INCOMPLETE INTERCEPTION;14'42'';;;;;;;
;;;;;;;;;;;;;;
30'16'';14'43'';RECOVERY;4L;PD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;CD;DRIVE;;;;;;;;;
;;;4L;CD;DRIVE;DISARM;14'47'';;;;;;;
;;;;;;;;;;;;;;
34'43'';19'09'';FALL;4R;PM;SHOT ATTEMPT;GK SAVE;19'13'';;;;;;;
;;;;;;;;;;;;;;
35'16'';19'42'';FREETHROW;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;19'50'';;;;;;;
;;;;;;;;;;;;;;
39'48'';24'13'';RECOVERY;2R;F;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;DRIVE;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;CROSS;;;;;;;;;
;;;4C;CB;HEADING ATTEMPT;GK SAVE;24'38'';;;;;;;
;;;;;;;;;;;;;;
40'38'';25'03'';CORNER;4L;PD;CROSS;INCOMPLETE INTERCEPTION;25'05'';;;;;;;
;;;;;;;;;;;;;;
40'42'';25'07'';RECOVERY;3L;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;CM;RECEPTION;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;BLOCK;25'28'';;;;;;;
;;;;;;;;;;;;;;
42'14'';26'40'';FALL;3C;F;CROSS;INCOMPLETE INTERCEPTION;26'42'';;;;;;;
;;;;;;;;;;;;;;
42'20'';26'45'';RECOVERY;4R;PM;CROSS;INTERCEPTION;26'49'';;;;;;;
;;;;;;;;;;;;;;
49'03'';33'28'';RECOVERY;3C;F;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;CROSS;INTERCEPTION;33'33'';;;;;;;
;;;;;;;;;;;;;;
49'13'';33'38'';INTERCEPTION;3L;F;PASS;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;PASS;GK SAVE;33'57'';;;;;;;
;;;;;;;;;;;;;;
50'50'';35'15'';CORNER;4L;PD;CROSS;INCOMPLETE INTERCEPTION;35'17'';;;;;;;
;;;;;;;;;;;;;;
51'15'';36'21'';FALL;3L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;DRIVE;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;DRIVE;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;SHOT ATTEMPT;GK SAVE;36'59'';;;;;;;
;;;;;;;;;;;;;;
55'03'';39'28'';CORNER;4R;PD;CROSS;CORNER;39'32'';;;;;;;
;;;;;;;;;;;;;;
55'37'';40'03'';CORNER;4L;PD;CROSS;INCOMPLETE INTERCEPTION;40'05'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
07'21'';48'07'';FALL;3L;F;CROSS;INCOMPLETE INTERCEPTION;48'09'';;;;;;;
;;;;;;;;;;;;;;
09'18'';50'03'';GK KICK;1C;F;PASS;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;FREETHROW;50'28'';;;;;;;
;;;;;;;;;;;;;;
14'31'';55'18'';RECOVERY;2R;F;DRIVE;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;CM;RECEPTION;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;DRIVE;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;BLOCK;55'33'';;;;;;;
;;;;;;;;;;;;;;
14'50'';55'35'';RECOVERY;4R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GOAL;55'51'';;;;;;;
;;;;;;;;;;;;;;
19'48'';60'33'';DISARM;2C;CM;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;60'41'';;;;;;;
;;;;;;;;;;;;;;
27'01'';67'46'';RECOVERY;3R;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;CROSS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;PB;PASS;INCOMPLETE INTERCEPTION;68'31'';;;;;;;
;;;;;;;;;;;;;;
28'41'';69'26'';FALL;4R;F;CROSS;GK SAVE;69'28'';;;;;;;
;;;;;;;;;;;;;;
30'16'';71'02'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3R;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;DISARM;71'29'';;;;;;;
;;;;;;;;;;;;;;
35'29'';76'24'';RECOVERY;1C;CM;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;4L;CD;DRIVE;CORNER;76'36'';;;;;;;
;;;;;;;;;;;;;;
36'25'';77'10'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;4R;CM;DRIVE;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;GK SAVE;77'22'';;;;;;;
;;;;;;;;;;;;;;
41'22'';82'07'';RECOVERY;4R;PD;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;CORNER;82'12'';;;;;;;
;;;;;;;;;;;;;;
42'02'';82'48'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;82'50'';;;;;;;
;;;;;;;;;;;;;;
45'20'';86'05'';CORNER;4R;PD;CROSS;INTERCEPTION;86'08'';;;;;;;
;;;;;;;;;;;;;;
50'20'';91'05'';RECOVERY;1C;CM;PASS;;;;;;;;;
;;;2C;CD;RECEPTION;;;;;;;;;
;;;2C;CD;DRIVE;;;;;;;;;
;;;3C;CD;PASS;INTERCEPTION;91'12'';;;;;;;
;;;;;;;;;;;;;;
52'40'';93'25'';INTERCEPTION;3R;CD;PASS;;;;;;;;;
;;;4R;PB;RECEPTION;;;;;;;;;
;;;4R;PB;DRIVE;;;;;;;;;
;;;4R;PD;DRIVE;INCOMPLETE DISARM;93'34'';;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;