CHI X ARG;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;;00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;;;;;;;
19'32'';01'36'';RECOVERY;2R;CM;DRIVE;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PD;CROSS;GK SAVE;;;;;;;;
;;;;;;;;;;;;;;
23'20'';05'25'';GK SAVE;1C;F;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3C;CM;DRIVE;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3C;CM;SHOT ATTEMPT;GK SAVE;05'52'';;;;;;;
;;;;;;;;;;;;;;
24'34'';06'39'';RECOVERY;4L;PD;SHOT ATTEMPT;BLOCK;06'41'';;;;;;;
;;;;;;;;;;;;;;
25'34'';07'38'';RECOVERY;3R;CM;PASS;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;PASS;INCOMPLETE INTERCEPTION;07'49'';;;;;;;
;;;;;;;;;;;;;;
27'07'';09'12'';INTERCEPTION;3L;CM;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;SHOT ATTEMPT;GK KICK;09'17'';;;;;;;
;;;;;;;;;;;;;;
28'14'';10'19'';INTERCEPTION;2R;PM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;CROSS;INCOMPLETE INTERCEPTION;10'26'';;;;;;;
;;;;;;;;;;;;;;
28'23'';10'28'';RECOVERY;4C;CD;SHOT ATTEMPT;GK SAVE;10'29'';;;;;;;
;;;;;;;;;;;;;;
40'04'';22'08'';INTERCEPTION;1C;CM;DRIVE;;;;;;;;;
;;;2C;CM;DRIVE;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;4R;CB;RECEPTION;;;;;;;;;
;;;4R;CB;DRIVE;;;;;;;;;
;;;4R;CD;SHOT ATTEMPT;GK KICK;22'20'';;;;;;;
;;;;;;;;;;;;;;
42'15'';24'19'';FALL;4R;F;CROSS;GK SAVE;24'21'';;;;;;;
;;;;;;;;;;;;;;
47'16'';29'21'';INTERCEPTION;2C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3R;CD;DRIVE;;;;;;;;;
;;;4R;CD;DRIVE;DISARM;29'27'';;;;;;;
;;;;;;;;;;;;;;
48'58'';31'02'';FREETHROW;4L;PM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;CROSS;INCOMPLETE INTERCEPTION;31'18'';;;;;;;
;;;;;;;;;;;;;;
50'26'';32'31'';RECOVERY;2L;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;32'53'';;;;;;;
;;;;;;;;;;;;;;
50'49'';32'54'';RECOVERY;4C;CD;DRIVE;DISARM;32'55'';;;;;;;
;;;;;;;;;;;;;;
59'08'';41'12'';FALL;3C;F;CROSS;;;;;;;;;
;;;4C;CD;RECEPTION;OFENSIVE FALL;41'15'';;;;;;;
;;;;;;;;;;;;;;
01'00'38'';42'43'';FALL;3R;F;CROSS;INTERCEPTION;42'45'';;;;;;;
;;;;;;;;;;;;;;
01'03'13'';45'18'';RECOVERY;3C;CM;DRIVE;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;SHOT ATTEMPT;GK SAVE;40'25'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
05'22'';45'15'';DISARM;4C;CD;DRIVE;;;;;;;;;
;;;4C;PD;DRIVE;;;;;;;;;
;;;4R;PD;CROSS;;;;;;;;;
;;;4C;PD;HEADING ATTEMPT;GK SAVE;45'22'';;;;;;;
;;;;;;;;;;;;;;
08'38'';48'32'';FREETHROW;4R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;INTERCEPTION;48'37'';;;;;;;
;;;;;;;;;;;;;;
09'57'';49'50'';DROPPED BALL;2C;F;PASS;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;DRIVE;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PB;CROSS;CORNER KICK;50'11'';;;;;;;
;;;;;;;;;;;;;;
10'51'';50'45'';CORNER;4R;PD;CROSS;FREETHROW;50'47'';;;;;;;
;;;;;;;;;;;;;;
11'34'';51'28'';CORNER;4R;PD;CROSS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;51'29'';;;;;;;
;;;;;;;;;;;;;;
15'54'';55'48'';FALL;4R;F;CROSS;INTERCEPTION;55'50'';;;;;;;
;;;;;;;;;;;;;;
25'48'';65'42'';RECOVERY;4R;CD;CROSS;;;;;;;;;
;;;4C;PD;RECEPTION;;;;;;;;;
;;;4C;PD;SHOT ATTEMPT;BLOCK;65'46'';;;;;;;
;;;;;;;;;;;;;;
32'00'';71'54'';DISARM;2C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;DRIVE;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;72'23'';;;;;;;
;;;;;;;;;;;;;;
35'26'';75'20'';RECOVERY;4C;CD;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;DRIVE;DISARM;75'46'';;;;;;;
;;;;;;;;;;;;;;
36'28'';76'21'';RECOVERY;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PB;PASS;FREETHROW;76'33'';;;;;;;
;;;;;;;;;;;;;;
41'34'';81'28'';RECOVERY;3L;PM;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PD;CROSS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PB;SHOT ATTEMPT;GK KICK;81'44'';;;;;;;
;;;;;;;;;;;;;;
FIRST OVERTIME;;;;;;;;;;;;;;
00'08'';90'08'';RECOVERY;1R;F;PASS;;;;;;;;;
;;;1R;F;RECEPTION;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;1R;F;RECEPTION;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;DRIVE;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;INCOMPLETE INTERCEPTION;90'43'';;;;;;;
;;;;;;;;;;;;;;
05'46'';95'46'';RECOVERY;3R;PM;PASS;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;3C;CM;SHOT ATTEMPT;BLOCK;96'00'';;;;;;;
;;;;;;;;;;;;;;
07'31'';97'31'';DISARM;3L;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;SHOT ATTEMPT;GK KICK;97'40'';;;;;;;
;;;;;;;;;;;;;;
14'50'';104'50'';GK SAVE;1C;F;DRIVE;;;;;;;;;
;;;1C;CM;PASS;;;;;;;;;
;;;3R;PB;RECEPTION;;;;;;;;;
;;;3R;PB;DRIVE;;;;;;;;;
;;;4R;PB;DRIVE;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;GK KICK;105'00'';;;;;;;
;;;;;;;;;;;;;;
SECOND OVERTIME;;;;;;;;;;;;;;
20'10'';107'58'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;108'01'';;;;;;;
;;;;;;;;;;;;;;
20'20'';108'08'';RECOVERY;4C;CM;SHOT ATTEMPT;BLOCK;108'09'';;;;;;;
;;;;;;;;;;;;;;
21'04'';108'52'';DISARM;1C;CM;DRIVE;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PB;PASS;OFFSIDE;109'07'';;;;;;;
;;;;;;;;;;;;;;
25'55'';113'47'';RECOVERY;4L;PD;PASS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;GK KICK;113'50'';;;;;;;
;;;;;;;;;;;;;;
29'10'';117'02'';FALL;3C;F;SHOT ATTEMPT;GK SAVE;117'04'';;;;;;;
;;;;;;;;;;;;;;
30'08'';118'04'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;118'06'';;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;