CHI X EQUA;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 66'00'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 83'15'';;;;;;
22'33'';0'48'';INTERCEPTION;2L;CM;PASS;;;TEAM EXPULSION 92'14'';;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CD;RECEPTION;;;;;;;;;
;;;3R;CD;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;DRIVE;;;;;;;;;
;;;4R;CD;SHOT ATTEMPT;GK KICK;1'16'';;;;;;;
;;;;;;;;;;;;;;
24'41'';03'06'';FALL;2R;CM;PASS;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;GK SAVE;3'11'';;;;;;;
;;;;;;;;;;;;;;
25'28'';3'53'';INTERCEPTION;2L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;GK SAVE;04'03'';;;;;;;
;;;;;;;;;;;;;;
34'06'';12'31'';RECOVERY;3C;CD;DRIVE;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PB;CROSS;INCOMPLETE INTERCEPTION;12'40'';;;;;;;
;;;;;;;;;;;;;;
35'43'';14'08'';RECOVERY;3L;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;SHOT ATTEMPT;BLOCK;14'13'';;;;;;;
;;;;;;;;;;;;;;
41'38'';20'04'';RECOVERY;4R;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;CROSS;INCOMPLETE INTERCEPTION;20'09'';;;;;;;
;;;;;;;;;;;;;;
41'48'';20'13'';RECOVERY;3L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;DRIVE;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;PB;CROSS;GK SAVE;20'36'';;;;;;;
;;;;;;;;;;;;;;
42'34'';20'59'';RECOVERY;3L;CM;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;CROSS;GK SAVE;21'14'';;;;;;;
;;;;;;;;;;;;;;
45'38'';24'03'';FALL;3L;F;CROSS;INTERCEPTION;24'06'';;;;;;;
;;;;;;;;;;;;;;
51'04'';29'29'';FALL;4C;F;SHOT ATTEMPT;BLOCK;29'30'';;;;;;;
;;;;;;;;;;;;;;
55'10'';33'35'';INTERCEPTION;4R;PD;PASS;;;;;;;;;
;;;4R;PB;RECEPTION;OFFSIDE;33'38'';;;;;;;
;;;;;;;;;;;;;;
57'07'';35'32'';FALL;3C;F;CROSS;INCOMPLETE INTERCEPTION;35'33'';;;;;;;
;;;;;;;;;;;;;;
57'39'';36'04'';INTERCEPTION;3R;CM;PASS;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;DRIVE;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;DRIVE;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PD;CROSS;INCOMPLETE INTERCEPTION;36'48'';;;;;;;
;;;;;;;;;;;;;;
58'30'';36'55'';RECOVERY;3R;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CB;SHOT ATTEMPT;GK SAVE;37'02'';;;;;;;
;;;;;;;;;;;;;;
59'34'';37'58'';FALL;3R;PM;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;CD;SHOT ATTEMPT;GK KICK;38'06'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
07'18'';46'15'';RECOVERY;4L;CM;DRIVE;;;;;;;;;
;;;4L;CD;DRIVE;DISARM;46'18'';;;;;;;
;;;;;;;;;;;;;;
08'36'';47'34'';FALL;3R;F;CROSS;BLOCK;47'35'';;;;;;;
;;;;;;;;;;;;;;
12'35'';51'32'';RECOVERY;4L;CM;DRIVE;;;;;;;;;
;;;4C;CD;DRIVE;;;;;;;;;
;;;4C;PD;DRIVE;;;;;;;;;
;;;4L;PD;DRIVE;DISARM;51'41'';;;;;;;
;;;;;;;;;;;;;;
16'21'';55'18'';RECOVERY;4L;PM;PASS;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;GK KICK;55'24'';;;;;;;
;;;;;;;;;;;;;;
23'24'';62'22'';INTERCEPTION;2R;CM;PASS;;;;;;;;;
;;;2R;CM;RECEPTION;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4R;PB;RECEPTION;;;;;;;;;
;;;4R;PB;SHOT ATTEMPT;GK SAVE;62'37'';;;;;;;
;;;;;;;;;;;;;;
25'03'';64'00'';RECOVERY;1R;F;PASS;;;;;;;;;
;;;2R;CM;RECEPTION;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;2R;CM;RECEPTION;;;;;;;;;
;;;2R;CM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;CM;DRIVE;PENALTY;64'22'';;;;;;;
;;;;;;;;;;;;;;
27'01'';65'59'';PENALTY;4C;CB;SHOT ATTEMPT;GOAL;66'00'';;;;;;;
;;;;;;;;;;;;;;
29'00'';67'57'';RECOVERY;1C;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;4L;PD;CROSS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;SHOT ATTEMPT;BLOCK;68'54'';;;;;;;
;;;;;;;;;;;;;;
44'15'';83'11'';INTERCEPTION;3L;CD;DRIVE;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;4C;CB;SHOT ATTEMPT;GOAL;83'15'';;;;;;;
;;;;;;;;;;;;;;
50'25'';89'22'';INTERCEPTION;1C;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;89'41'';;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;